mjd,flux,type
60274.67782,14.23, Filtered
60274.67782,0.5644, Passthrough
60274.77503,12.24, Filtered
60274.77503,0.5185, Passthrough
60283.11221,23.8, Filtered
60283.11221,0.8073, Passthrough
60283.20942,9.161, Filtered
60283.20942,0.4785, Passthrough
60283.30666,16.62, Filtered
60283.30666,0.6493, Passthrough
60283.41273,9.132, Filtered
60283.41273,0.4222, Passthrough
60283.50995,12.83, Filtered
60283.50995,0.5105, Passthrough
60283.60716,10.27, Filtered
60283.60716,0.4902, Passthrough
60288.01867,54.85, Filtered
60288.01867,1.946, Passthrough
60288.21309,11.39, Filtered
60288.21309,0.5747, Passthrough
60288.31919,12.18, Filtered
60288.31919,0.5488, Passthrough
60288.41640,12.33, Filtered
60288.41640,0.5761, Passthrough
60288.51361,11.69, Filtered
60288.51361,0.5113, Passthrough
60293.38779,12.48, Filtered
60293.38779,0.596, Passthrough
60293.68831,115.2, Filtered
60293.68831,23.11, Passthrough
60293.78652,15.16, Filtered
60293.78652,0.615, Passthrough
60293.88373,11.0, Filtered
60293.88373,0.654, Passthrough
60296.51308,14.1, Filtered
60296.51308,0.5893, Passthrough
60296.61029,17.79, Filtered
60296.61029,0.6826, Passthrough
60296.70750,15.78, Filtered
60296.70750,0.6528, Passthrough
60296.81456,9.261, Filtered
60296.81456,0.5529, Passthrough
60302.38185,26.18, Filtered
60302.38185,0.7858, Passthrough
60302.47906,19.53, Filtered
60302.47906,0.7069, Passthrough
60302.57627,15.62, Filtered
60302.57627,0.8039, Passthrough
60302.68235,19.15, Filtered
60302.68235,0.9187, Passthrough
60302.78054,22.63, Filtered
60302.78054,0.8635, Passthrough
60302.87775,17.63, Filtered
60302.87775,0.9608, Passthrough
60305.42966,12.81, Filtered
60305.42966,0.5421, Passthrough
60305.52688,9.099, Filtered
60305.52688,0.6663, Passthrough
60305.62409,20.6, Filtered
60305.62409,0.6648, Passthrough
60305.73117,12.01, Filtered
60305.73117,0.5727, Passthrough
60305.82839,15.39, Filtered
60305.82839,0.686, Passthrough
60305.92560,23.19, Filtered
60305.92560,0.9914, Passthrough
60321.53612,13.38, Filtered
60321.53612,0.6327, Passthrough
60321.63333,13.93, Filtered
60321.63333,0.5991, Passthrough
60321.73153,12.75, Filtered
60321.73153,0.4983, Passthrough
60321.83760,8.879, Filtered
60321.83760,0.518, Passthrough
60321.93481,10.59, Filtered
60321.93481,0.4644, Passthrough
60322.03203,18.25, Filtered
60322.03203,0.4789, Passthrough
60322.32391,9.068, Filtered
60322.32391,0.4656, Passthrough
60322.51833,25.71, Filtered
60322.51833,1.362, Passthrough
60322.62443,17.38, Filtered
60322.62443,0.569, Passthrough
60322.72263,10.4, Filtered
60322.72263,0.5738, Passthrough
60322.81984,9.638, Filtered
60322.81984,0.7407, Passthrough
